creditor,list_rec
"84 LUMBER COMPANY, L.P.
LEGAL DEPT., BLDG. #2
1019 ROUTE 519
EIGHTY FOUR, PA 15330","['84 LUMBER COMPANY, L.P.\nLEGAL DEPT., BLDG. #2\n1019 ROUTE 519\nEIGHTY FOUR, PA 15330']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
WEST PALM BEACH SERVICE CENTER
2468 METROCENTRE BLVD
WEST PALM BEACH FL334073105","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nWEST PALM BEACH SERVICE CENTER\n2468 METROCENTRE BLVD\nWEST PALM BEACH FL334073105']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
LOS ANGELES SERVICE CENTER
2390 E ORANGEWOOD AVE STE 325
ANAHEIM CA928066158","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nLOS ANGELES SERVICE CENTER\n2390 E ORANGEWOOD AVE STE 325\nANAHEIM CA928066158']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
CORAL SPRINGS SERVICE CENTER
3301 N UNIVERSITY DR STE 200","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nCORAL SPRINGS SERVICE CENTER\n3301 N UNIVERSITY DR STE 200']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
CORAL SPRINGS SERVICE CENTER
3301 N UNIVERSITY DR STE 200
CORAL SPRINGS FL330654149","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nCORAL SPRINGS SERVICE CENTER\n3301 N UNIVERSITY DR STE 200\nCORAL SPRINGS FL330654149']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
CORAL SPRINGS SERVICE CENTER
3301 N UNIVERSITY DR STE 200
CORAL SPRINGS FL330654149","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nCORAL SPRINGS SERVICE CENTER\n3301 N UNIVERSITY DR STE 200\nCORAL SPRINGS FL330654149']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
OUT OF STATE COLLECTIONS UNIT
1401 W US HIGHWAY 90 STE 100
LAKE CITY FL320556123","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nOUT OF STATE COLLECTIONS UNIT\n1401 W US HIGHWAY 90 STE 100\nLAKE CITY FL320556123']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
TALLAHASSEE SERVICE CENTER
2410 ALLEN RD
TALLAHASSEE FL323122603","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nTALLAHASSEE SERVICE CENTER\n2410 ALLEN RD\nTALLAHASSEE FL323122603']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
TALLAHASSEE SERVICE CENTER
2410 ALLEN RD
TALLAHASSEE FL323122603","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nTALLAHASSEE SERVICE CENTER\n2410 ALLEN RD\nTALLAHASSEE FL323122603']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
TALLAHASSEE SERVICE CENTER
267 JOHN KNOX RD STE 200
TALLAHASSEE FL323036692","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nTALLAHASSEE SERVICE CENTER\n267 JOHN KNOX RD STE 200\nTALLAHASSEE FL323036692']"
